Date,Predictions
2010-12-11 05:00:00+00:00,[1029.4366]
2010-12-11 06:00:00+00:00,[1063.0449]
2010-12-11 07:00:00+00:00,[1109.9813]
2010-12-11 08:00:00+00:00,[1150.4128]
2010-12-11 09:00:00+00:00,[1145.8281]
2010-12-11 10:00:00+00:00,[1190.6816]
2010-12-11 11:00:00+00:00,[1189.2914]
2010-12-11 12:00:00+00:00,[1187.3357]
2010-12-11 13:00:00+00:00,[1189.5005]
2010-12-11 14:00:00+00:00,[1191.8279]
2010-12-11 15:00:00+00:00,[1186.3777]
2010-12-11 16:00:00+00:00,[1187.1373]
2010-12-11 17:00:00+00:00,[1186.314]
2010-12-11 18:00:00+00:00,[1160.3605]
2010-12-11 19:00:00+00:00,[1102.8972]
2010-12-11 20:00:00+00:00,[1051.8947]
2010-12-11 21:00:00+00:00,[1018.88617]
2010-12-11 22:00:00+00:00,[949.5373]
2010-12-11 23:00:00+00:00,[897.48505]
2010-12-11 00:00:00+00:00,[869.3682]
2010-12-12 01:00:00+00:00,[868.3156]
2010-12-12 02:00:00+00:00,[870.7648]
2010-12-12 03:00:00+00:00,[879.78235]
2010-12-12 04:00:00+00:00,[905.6166]
2010-12-12 05:00:00+00:00,[928.29065]
2010-12-12 06:00:00+00:00,[999.41864]
2010-12-12 07:00:00+00:00,[1031.7516]
2010-12-12 08:00:00+00:00,[1177.3552]
2010-12-12 09:00:00+00:00,[1268.5244]
2010-12-12 10:00:00+00:00,[1298.6337]
2010-12-12 11:00:00+00:00,[1340.8219]
2010-12-12 12:00:00+00:00,[1353.492]
2010-12-12 13:00:00+00:00,[1370.0944]
2010-12-12 14:00:00+00:00,[1368.5192]
2010-12-12 15:00:00+00:00,[1389.5588]
2010-12-12 16:00:00+00:00,[1395.7893]
2010-12-12 17:00:00+00:00,[1351.2344]
2010-12-12 18:00:00+00:00,[1271.3687]
2010-12-12 19:00:00+00:00,[1197.139]
2010-12-12 20:00:00+00:00,[1042.5216]
2010-12-12 21:00:00+00:00,[995.6613]
2010-12-12 22:00:00+00:00,[931.7062]
2010-12-12 23:00:00+00:00,[888.9348]
2010-12-12 00:00:00+00:00,[847.67346]
2010-12-13 01:00:00+00:00,[841.9636]
2010-12-13 02:00:00+00:00,[840.9624]
2010-12-13 03:00:00+00:00,[848.76935]
2010-12-13 04:00:00+00:00,[859.6753]
2010-12-13 05:00:00+00:00,[876.59546]
2010-12-13 06:00:00+00:00,[956.7297]
2010-12-13 07:00:00+00:00,[1030.7788]
2010-12-13 08:00:00+00:00,[1182.4553]
2010-12-13 09:00:00+00:00,[1241.0768]
2010-12-13 10:00:00+00:00,[1272.084]
2010-12-13 11:00:00+00:00,[1298.7825]
2010-12-13 12:00:00+00:00,[1297.0404]
2010-12-13 13:00:00+00:00,[1306.2887]
2010-12-13 14:00:00+00:00,[1312.181]
2010-12-13 15:00:00+00:00,[1392.6221]
2010-12-13 16:00:00+00:00,[1443.5131]
2010-12-13 17:00:00+00:00,[1467.7637]
2010-12-13 18:00:00+00:00,[1477.8976]
2010-12-13 19:00:00+00:00,[1345.7502]
2010-12-13 20:00:00+00:00,[1093.706]
2010-12-13 21:00:00+00:00,[1025.1449]
2010-12-13 22:00:00+00:00,[951.51984]
2010-12-13 23:00:00+00:00,[913.80695]
2010-12-13 00:00:00+00:00,[865.24524]
2010-12-14 01:00:00+00:00,[850.3048]
2010-12-14 02:00:00+00:00,[842.0137]
2010-12-14 03:00:00+00:00,[840.9397]
2010-12-14 04:00:00+00:00,[843.68304]
2010-12-14 05:00:00+00:00,[850.9988]
2010-12-14 06:00:00+00:00,[907.75555]
2010-12-14 07:00:00+00:00,[938.32074]
2010-12-14 08:00:00+00:00,[1146.6815]
2010-12-14 09:00:00+00:00,[1263.4554]
2010-12-14 10:00:00+00:00,[1279.0286]
2010-12-14 11:00:00+00:00,[1319.5706]
2010-12-14 12:00:00+00:00,[1332.5021]
2010-12-14 13:00:00+00:00,[1352.2338]
2010-12-14 14:00:00+00:00,[1355.7698]
2010-12-14 15:00:00+00:00,[1405.8651]
2010-12-14 16:00:00+00:00,[1457.5247]
2010-12-14 17:00:00+00:00,[1501.7893]
2010-12-14 18:00:00+00:00,[1525.034]
2010-12-14 19:00:00+00:00,[1450.9603]
2010-12-14 20:00:00+00:00,[1169.1652]
2010-12-14 21:00:00+00:00,[1050.8203]
2010-12-14 22:00:00+00:00,[977.9187]
2010-12-14 23:00:00+00:00,[950.49756]
2010-12-14 00:00:00+00:00,[904.5252]
2010-12-15 01:00:00+00:00,[892.5328]
2010-12-15 02:00:00+00:00,[883.1573]
2010-12-15 03:00:00+00:00,[876.2445]
2010-12-15 04:00:00+00:00,[868.17224]
2010-12-15 05:00:00+00:00,[869.56744]
2010-12-15 06:00:00+00:00,[922.2802]
2010-12-15 07:00:00+00:00,[950.7431]
2010-12-15 08:00:00+00:00,[1147.7847]
2010-12-15 09:00:00+00:00,[1302.2196]
2010-12-15 10:00:00+00:00,[1317.4758]
2010-12-15 11:00:00+00:00,[1344.8446]
2010-12-15 12:00:00+00:00,[1348.026]
2010-12-15 13:00:00+00:00,[1351.0352]
2010-12-15 14:00:00+00:00,[1349.6031]
2010-12-15 15:00:00+00:00,[1396.1078]
2010-12-15 16:00:00+00:00,[1443.8663]
2010-12-15 17:00:00+00:00,[1486.7891]
2010-12-15 18:00:00+00:00,[1518.3984]
2010-12-15 19:00:00+00:00,[1470.4194]
2010-12-15 20:00:00+00:00,[1209.6399]
2010-12-15 21:00:00+00:00,[1112.0343]
