datetime,temperature,Global_active_power
2010-01-13-09-00,10.00,1397.444847
2010-01-13-10-00,12.17,1486.154914
2010-01-13-11-00,14.28,1514.578046
2010-01-13-12-00,15.94,1505.225955
2010-01-13-13-00,17.22,1449.251244
2010-01-13-14-00,18.17,1477.793029
2010-01-13-15-00,18.83,1469.096132
2010-01-13-16-00,19.06,1475.769798
2010-01-13-17-00,18.67,1482.441871
2010-01-13-18-00,17.22,1496.743504
2010-01-13-19-00,15.78,1267.057721
2010-01-13-20-00,14.50,1274.059927
2010-01-13-21-00,13.56,1112.388988
2010-01-13-22-00,12.72,1069.278398
2010-01-13-23-00,12.00,1012.445408
2010-01-13-00-00,11.22,1011.558061
2010-01-14-01-00,10.56,947.1343373
2010-01-14-02-00,10.00,911.2450157
2010-01-14-03-00,9.50,924.050815
2010-01-14-04-00,9.06,932.9104107
2010-01-14-05-00,8.72,936.3002351
2010-01-14-06-00,8.44,921.8542747
2010-01-14-07-00,8.28,992.7691201
2010-01-14-08-00,8.33,1120.536544
2010-01-14-09-00,10.00,1167.382859
2010-01-14-10-00,12.22,1307.25566
2010-01-14-11-00,14.33,1336.716829
2010-01-14-12-00,16.00,1322.7819
2010-01-14-13-00,17.22,1274.52185
2010-01-14-14-00,18.22,1259.847782
2010-01-14-15-00,18.89,1252.268854
2010-01-14-16-00,19.06,1179.089419
2010-01-14-17-00,18.72,1189.686771
2010-01-14-18-00,17.28,1149.84278
2010-01-14-19-00,15.83,1140.53972
2010-01-14-20-00,14.56,1141.575558
2010-01-14-21-00,13.61,1030.112291
2010-01-14-22-00,12.78,1029.640631
2010-01-14-23-00,12.06,1019.769336
2010-01-14-00-00,11.28,1018.431745
2010-01-15-01-00,10.56,984.4672762
2010-01-15-02-00,10.00,983.9787688
2010-01-15-03-00,9.50,979.5969064
2010-01-15-04-00,9.11,937.9465175
2010-01-15-05-00,8.72,948.7468925
2010-01-15-06-00,8.44,947.8022391
2010-01-15-07-00,8.28,1035.020116
2010-01-15-08-00,8.33,1047.839706
2010-01-15-09-00,10.00,1136.261841
2010-01-15-10-00,12.22,1132.917072
2010-01-15-11-00,14.39,1148.82592
2010-01-15-12-00,16.00,1149.902943
2010-01-15-13-00,17.28,1148.034836
2010-01-15-14-00,18.22,1125.56785
2010-01-15-15-00,18.89,1113.904363
2010-01-15-16-00,19.11,1115.828225
2010-01-15-17-00,18.72,1092.715182
2010-01-15-18-00,17.33,1051.758361
2010-01-15-19-00,15.83,1047.766865
2010-01-15-20-00,14.56,1049.14506
2010-01-15-21-00,13.61,1018.177886
2010-01-15-22-00,12.83,1016.926905
2010-01-15-23-00,12.11,1001.83009
2010-01-15-00-00,11.33,999.143434
2010-01-16-01-00,10.61,980.0048889
2010-01-16-02-00,10.06,975.3180023
2010-01-16-03-00,9.56,966.9618312
2010-01-16-04-00,9.11,959.0484906
2010-01-16-05-00,8.72,969.3963071
2010-01-16-06-00,8.50,970.7776607
2010-01-16-07-00,8.28,1036.109075
2010-01-16-08-00,8.39,1038.326005
2010-01-16-09-00,10.06,1115.822903
2010-01-16-10-00,12.28,1108.127271
2010-01-16-11-00,14.39,1114.955155
2010-01-16-12-00,16.06,1117.289555
2010-01-16-13-00,17.28,1117.123799
2010-01-16-14-00,18.28,1102.707725
2010-01-16-15-00,18.94,1108.713258
2010-01-16-16-00,19.17,1111.155051
2010-01-16-17-00,18.78,1091.813063
2010-01-16-18-00,17.39,1057.945135
2010-01-16-19-00,15.89,1033.102063
2010-01-16-20-00,14.67,1023.358784
2010-01-16-21-00,13.72,989.5705857
2010-01-16-22-00,12.89,987.0686289
2010-01-16-23-00,12.17,973.1991369
2010-01-16-00-00,11.44,968.2333761
2010-01-17-01-00,10.72,992.5232887
2010-01-17-02-00,10.11,1010.839889
2010-01-17-03-00,9.61,965.1632778
2010-01-17-04-00,9.22,948.123415
2010-01-17-05-00,8.78,1028.689461
2010-01-17-06-00,8.56,1013.446869
2010-01-17-07-00,8.39,1253.057798
2010-01-17-08-00,8.44,1372.86751
2010-01-17-09-00,10.11,1404.09594
2010-01-17-10-00,12.39,1462.242941
2010-01-17-11-00,14.44,1497.495117
2010-01-17-12-00,16.06,1508.380788
2010-01-17-13-00,17.33,1467.737953
2010-01-17-14-00,18.33,1504.037545
2010-01-17-15-00,19.00,1514.437354
2010-01-17-16-00,19.22,1522.192468
2010-01-17-17-00,18.83,1536.205244
2010-01-17-18-00,17.50,1539.770463
2010-01-17-19-00,16.00,1266.731722
2010-01-17-20-00,14.72,1242.616499
2010-01-17-21-00,13.78,1105.823501
2010-01-17-22-00,13.00,1071.079443
2010-01-17-23-00,12.22,924.2946512
2010-01-17-00-00,11.50,919.295029
2010-01-18-01-00,10.78,893.5886572
2010-01-18-02-00,10.11,879.1656674
2010-01-18-03-00,9.61,867.2017629
2010-01-18-04-00,9.22,844.2056438
2010-01-18-05-00,8.83,917.7169848
2010-01-18-06-00,8.61,920.231642
2010-01-18-07-00,8.39,1136.42061
2010-01-18-08-00,8.44,1242.606461
2010-01-18-09-00,10.11,1307.462451
2010-01-18-10-00,12.44,1372.026111
2010-01-18-11-00,14.44,1437.112804
2010-01-18-12-00,16.11,1496.9806
2010-01-18-13-00,17.33,1472.200691
2010-01-18-14-00,18.33,1530.027525
2010-01-18-15-00,19.00,1549.794786
2010-01-18-16-00,19.22,1547.624351
2010-01-18-17-00,18.89,1552.598354
2010-01-18-18-00,17.50,1569.81831
2010-01-18-19-00,16.06,1297.089471
2010-01-18-20-00,14.78,1281.823319
2010-01-18-21-00,13.83,1139.228147
2010-01-18-22-00,13.00,1057.68756
2010-01-18-23-00,12.22,959.4098701
2010-01-18-00-00,11.44,950.3380687
2010-01-19-01-00,10.78,920.065771
2010-01-19-02-00,10.17,908.9651868
2010-01-19-03-00,9.67,907.4070468
2010-01-19-04-00,9.22,904.8969149
2010-01-19-05-00,8.83,981.2493111
2010-01-19-06-00,8.56,962.7106178
2010-01-19-07-00,8.39,1176.678923
2010-01-19-08-00,8.44,1304.608337
2010-01-19-09-00,10.11,1371.783114
2010-01-19-10-00,12.39,1460.547518
2010-01-19-11-00,14.44,1524.69372
2010-01-19-12-00,16.06,1545.127861
2010-01-19-13-00,17.33,1511.891706
2010-01-19-14-00,18.28,1549.51642
2010-01-19-15-00,19.00,1557.720243
2010-01-19-16-00,19.22,1562.071753
2010-01-19-17-00,18.89,1570.000983
2010-01-19-18-00,17.56,1576.234017
2010-01-19-19-00,16.06,1309.024265
2010-01-19-20-00,14.78,1295.559912
2010-01-19-21-00,13.83,1149.750964
2010-01-19-22-00,13.06,1104.085725
2010-01-19-23-00,12.28,984.3168285
2010-01-19-00-00,11.50,960.6789389
2010-01-20-01-00,10.83,928.7970751
2010-01-20-02-00,10.17,924.1532241
2010-01-20-03-00,9.67,903.4267349
2010-01-20-04-00,9.22,891.6965145
2010-01-20-05-00,8.83,975.2820926
2010-01-20-06-00,8.61,954.8736792
2010-01-20-07-00,8.39,1164.926414
2010-01-20-08-00,8.50,1272.425445
2010-01-20-09-00,10.11,1331.440098
2010-01-20-10-00,12.39,1427.383865
2010-01-20-11-00,14.44,1495.740963
2010-01-20-12-00,16.06,1525.286332
2010-01-20-13-00,17.33,1496.31505
2010-01-20-14-00,18.33,1539.421466
2010-01-20-15-00,19.00,1549.939374
2010-01-20-16-00,19.22,1552.887279
2010-01-20-17-00,18.89,1558.904564
2010-01-20-18-00,17.56,1568.710075
2010-01-20-19-00,16.11,1294.894089
2010-01-20-20-00,14.78,1283.996144
2010-01-20-21-00,13.83,1147.467538
2010-01-20-22-00,13.06,1075.442096
2010-01-20-23-00,12.28,955.4946194
2010-01-20-00-00,11.50,964.8442455
2010-01-21-01-00,10.83,939.908239
2010-01-21-02-00,10.22,927.7945361
2010-01-21-03-00,9.72,919.1812702
2010-01-21-04-00,9.28,907.8837488
2010-01-21-05-00,8.89,890.8935162
2010-01-21-06-00,8.61,881.7371967
2010-01-21-07-00,8.44,947.7043912
2010-01-21-08-00,8.50,1056.801577
2010-01-21-09-00,10.17,1080.074609
2010-01-21-10-00,12.39,1229.996625
2010-01-21-11-00,14.44,1295.07076
2010-01-21-12-00,16.06,1328.945336
2010-01-21-13-00,17.33,1313.913692
2010-01-21-14-00,18.28,1311.361964
2010-01-21-15-00,19.00,1306.094891
2010-01-21-16-00,19.22,1223.646941
2010-01-21-17-00,18.89,1236.630156
2010-01-21-18-00,17.61,1213.430437
2010-01-21-19-00,16.11,1185.571045
2010-01-21-20-00,14.78,1171.757005
2010-01-21-21-00,13.83,1056.613238
2010-01-21-22-00,13.06,1050.711166
2010-01-21-23-00,12.28,1029.307675
2010-01-21-00-00,11.56,957.429632
2010-01-22-01-00,10.83,918.2248339
2010-01-22-02-00,10.22,931.556292
